strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,wall_time_s
deferred,10263,13,13,13,1.0,True,924.6985892999849,12021.081660899803,8310.081660899803,41550.40830449905,3040.0,608,606,13,13,13,18,18,731.4615384615385,3647.0,0.05748509499971988
deferred,10264,11,11,11,1.0,True,1166.0292819865974,12826.322101852573,8386.322101852573,41931.61050926287,3655.0,731,730,11,11,11,13,13,3093.3636363636365,9011.0,0.02208512899960624
deferred,10265,12,12,12,1.0,True,1004.1280052089086,12049.536062506902,8426.536062506902,42132.6803125345,2970.0,594,593,12,12,12,13,13,883.5,4739.0,0.020690448000095785
deferred,10266,11,11,11,1.0,True,1169.337492027005,12862.712412297054,8434.712412297053,42173.562061485274,3645.0,729,728,11,11,11,11,11,2663.0,6989.0,0.024849713998264633
deferred,10267,10,10,10,1.0,True,1280.3955068618384,12803.955068618385,8122.955068618384,40614.775343091926,3860.0,772,771,10,10,10,11,11,3048.2,6053.0,0.021799718000693247
deferred,10268,16,16,16,1.0,True,678.9120589249524,10862.592942799238,7207.592942799239,36037.9647139962,2980.0,596,595,16,16,16,21,21,2344.25,5939.0,0.028545283999847015
deferred,10269,12,12,12,1.0,True,1066.8510957152396,12802.213148582876,8441.21314858288,42206.06574291439,3585.0,717,716,12,12,12,10,10,3976.0,8453.0,0.02582905899907928
deferred,10270,12,12,12,1.0,True,1015.1322651758147,12181.587182109777,8590.587182109783,42952.93591054892,2945.0,589,586,12,12,12,13,13,1468.0,5765.0,0.03626027599966619
deferred,10271,12,12,12,1.0,True,1072.737791992585,12872.85350391102,8451.853503911021,42259.267519555106,3635.0,727,726,12,12,12,14,14,3739.5,7673.0,0.028358800998830702
deferred,10272,13,13,13,1.0,True,963.2000270265561,12521.600351345229,8185.6003513452315,40928.00175672617,3560.0,712,711,13,13,13,16,16,3634.5384615384614,8705.0,0.029190896999352844
deferred,10273,14,14,14,1.0,True,944.6148444353537,13224.607822094951,8991.60782209495,44958.03911047474,3470.0,694,693,14,14,14,13,13,3864.714285714286,8579.0,0.030676319998747203
deferred,10274,12,12,12,1.0,True,1028.3136478654264,12339.763774385117,8302.763774385116,41513.81887192559,3315.0,663,662,12,12,12,7,7,2615.0,6239.0,0.019989589000033448
deferred,10275,10,10,10,1.0,True,1239.742969662906,12397.42969662906,7686.429696629058,38432.1484831453,3885.0,777,776,10,10,10,6,6,4253.6,9143.0,0.015127089998713927
deferred,10276,16,16,16,1.0,True,648.6038308289301,10377.661293262881,7208.661293262883,36043.30646631441,2575.0,515,514,16,16,16,16,16,2052.875,7673.0,0.03073157399921911
deferred,10277,11,11,11,1.0,True,1192.3230302762918,13115.55333303921,8531.553333039212,42657.76666519606,3775.0,755,754,11,11,11,16,16,2704.4545454545455,7565.0,0.02434282499962137
deferred,10278,11,11,11,1.0,True,1090.528357234816,11995.811929582975,7777.811929582971,38889.059647914866,3470.0,694,693,11,11,11,9,9,2406.090909090909,5477.0,0.020739460000186227
deferred,10279,14,14,14,1.0,True,816.419150981041,11429.868113734574,8222.868113734572,41114.34056867287,2615.0,523,522,14,14,14,10,10,1307.857142857143,5309.0,0.02247124999848893
deferred,10280,15,15,15,1.0,True,785.8656976202959,11787.985464304438,8287.985464304438,41439.92732152218,2855.0,571,570,15,15,15,16,16,2527.0,6179.0,0.02541915300025721
