seed,channel,localize_count,localize_movement_distance_m,localize_movement_time_s,clear_action_count,clear_movement_distance_m,clear_movement_time_s,first_found_virtual_time_s,cleared_virtual_time_s,found_to_clear_s,localize_source_types
321105,2,1,188.76136539174388,37.75227307834878,1,6.29564238671001,1.259128477342002,11.0,3424.1709541931555,3413.1709541931555,chebyshev_center:1
321105,3,1,771.2082783277062,154.24165566554126,1,7.120642714812615,1.424128542962523,17.0,4225.028012827279,4208.028012827279,chebyshev_center:1
321105,4,2,32.17616007101556,6.435232014203112,1,14.642510515169551,2.9285021030339102,2165.0,2378.7083634322544,213.70836343225437,centroid+task2_geometry:1;mec_center:1
321105,7,1,371.5046377693352,74.30092755386704,0,0.0,0,41.0,4310.328940381146,4269.328940381146,chebyshev_center:1
321105,8,5,643.0200781082237,128.60401562164475,1,13.46291201783626,2.692582403567252,2183.0,2467.660332142449,284.6603321424491,chebyshev_center:2;mec_center:3
321105,10,1,441.4860923326842,88.29721846653685,1,11.883590500492314,2.3767181000984627,59.0,3314.461963249134,3255.461963249134,centroid:1
321105,11,1,1109.2730394719802,221.85460789439603,1,5.648869188425726,1.1297738376851452,401.0,2857.826380455317,2456.826380455317,chebyshev_center:1
321105,12,1,716.0774342637814,143.21548685275627,1,9.830898640152116,1.9661797280304232,407.0,2623.841998723236,2216.841998723236,chebyshev_center:1
321105,13,1,235.55262614581744,47.110525229163486,1,7.935320795833465,1.587064159166693,77.0,3374.1595526374645,3297.1595526374645,chebyshev_center:1
321105,14,1,296.1101990813555,59.222039816271106,1,7.905694150420947,1.5811388300841895,413.0,3070.975169116252,2657.975169116252,mec_center:1
321105,16,1,639.2280500728984,127.84561001457969,1,12.5,2.5,425.0,2999.1719904698966,2574.1719904698966,mec_center:1
321105,17,1,642.3869117941651,128.47738235883304,1,11.677376037068868,2.3354752074137735,101.0,3212.7880266824986,3111.7880266824986,centroid+task2_geometry:1
321105,18,5,872.9990512334846,174.5998102466969,0,0.0,0,1481.0,4058.3622286187747,2577.3622286187747,chebyshev_center:2;mec_center:3
321105,19,1,904.2041711131794,180.8408342226359,0,0.0,0,113.0,3616.011788415791,3503.011788415791,chebyshev_center:1
321105,20,1,603.2738654787394,120.65477309574787,1,19.061778162851944,3.8123556325703887,119.0,4445.796069109464,4326.796069109464,chebyshev_center:1
321106,1,1,331.2948082901391,66.25896165802781,1,10.606601717798213,2.121320343559643,383.6196022098205,2715.217159616348,2331.5975574065274,mec_center:1
321106,2,1,1052.7135989020455,210.5427197804091,1,8.910180228423421,1.7820360456846842,11.0,3346.2597688785154,3335.2597688785154,chebyshev_center:1
321106,3,1,412.5949417230162,82.51898834460323,1,6.639021166657503,1.3278042333315008,17.0,3677.0078390455938,3660.0078390455938,chebyshev_center:1
321106,4,1,926.3469206452702,185.26938412905403,1,10.126410669456355,2.025282133891271,23.0,4061.79958283592,4038.79958283592,chebyshev_center:1
321106,5,1,583.8021925275718,116.76043850551437,1,9.013878188659973,1.8027756377319946,29.0,3863.5049165729747,3834.5049165729747,mec_center:1
321106,6,5,784.6433009715504,156.92866019431008,7,33.53553390593274,6.707106781186548,751.341883222311,3122.9350130524213,2371.5931298301102,chebyshev_center+task2_e_optimal:3;mec_center:2
321106,7,1,235.4000140712875,47.0800028142575,1,7.502600105333226,1.5005200210666452,41.0,2635.836877614761,2594.836877614761,chebyshev_center:1
321106,8,1,769.3584990107017,153.87169980214034,1,11.180339887498949,2.23606797749979,1831.341883222311,4228.90735061556,2397.565467393249,mec_center:1
321106,9,1,167.04377855145967,33.408755710291935,1,9.858145069681425,1.971629013936285,53.0,2910.2992460769246,2857.2992460769246,chebyshev_center:1
321106,11,1,678.2007446176979,135.64014892353958,1,10.307764064044152,2.0615528128088303,65.0,2863.9188613526962,2798.9188613526962,mec_center:1
