base_seed,emitter_count,directional_probability,realized_directional_count,realized_directional_fraction,strategy,all_cleared,cleared_count,virtual_time_s,within_6000,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,channel_switch_count,switch_time_s,optical_count,optical_time_s,clear_success_count,successful_clear_time_s,directional_loss_count,directional_reacquisition_count,first_clear_time_s,last_clear_time_s,post_last_clear_time_s,seen_channel_count,cost_accounting_residual_s,wall_time_s
60001,13,0.0,0,0.0,double_ring_optical_clear_probe,True,13,6245.13202117164,False,4420.132021171641,22100.660105858202,1475.0,295,259,0.8779661016949153,270,270.0,18,54.0,13,26.0,0,0,746.4359853501545,5834.322919949635,410.80910122200476,13,-9.094947017729282e-13,0.9024377019959502
60001,13,0.0,0,0.0,adaptive_double_ring_clear_probe,True,13,6158.216000546383,False,4346.216000546383,21731.080002731906,1455.0,291,258,0.8865979381443299,268,268.0,21,63.0,13,26.0,0,0,740.4359853501545,5748.290164079418,409.92583646696494,13,0.0,0.8534352879942162
60001,13,0.25,6,0.46153846153846156,double_ring_optical_clear_probe,True,13,7762.573057700514,False,5647.573057700514,28237.86528850258,1730.0,346,306,0.884393063583815,320,320.0,13,39.0,13,26.0,4,4,1339.3044526059882,7762.573057700514,0.0,13,0.0,1.043484862006153
60001,13,0.25,6,0.46153846153846156,adaptive_double_ring_clear_probe,True,13,6526.581875992092,False,4589.581875992094,22947.909379960467,1580.0,316,282,0.8924050632911392,292,292.0,13,39.0,13,26.0,3,3,754.9760818701881,6448.821000384907,77.76087560718497,13,-1.8189894035458565e-12,0.6889917869993951
60001,13,0.5,8,0.6153846153846154,double_ring_optical_clear_probe,True,13,7346.045214201647,False,5147.04521420165,25735.226071008256,1790.0,358,323,0.9022346368715084,332,332.0,17,51.0,13,26.0,3,3,530.1486881458135,7346.045214201647,0.0,13,-3.637978807091713e-12,0.7384612790046958
60001,13,0.5,8,0.6153846153846154,adaptive_double_ring_clear_probe,True,13,6566.61721989778,False,4580.61721989778,22903.086099488908,1610.0,322,285,0.8850931677018633,296,296.0,18,54.0,13,26.0,4,4,530.1486881458135,6566.61721989778,0.0,13,0.0,0.7706113559979713
60001,13,0.75,9,0.6923076923076923,double_ring_optical_clear_probe,True,13,7384.4431102846875,False,5131.4431102846875,25657.215551423447,1845.0,369,335,0.907859078590786,343,343.0,13,39.0,13,26.0,3,3,530.1486881458135,7384.4431102846875,0.0,13,0.0,0.6954960830044001
60001,13,0.75,9,0.6923076923076923,adaptive_double_ring_clear_probe,True,13,6609.346832641907,False,4581.346832641907,22906.73416320954,1645.0,329,293,0.8905775075987842,303,303.0,18,54.0,13,26.0,5,5,530.1486881458135,6609.346832641907,0.0,13,0.0,0.7602059120108606
60001,13,1.0,13,1.0,double_ring_optical_clear_probe,True,13,8678.049919981375,False,6245.049919981375,31225.24959990687,1995.0,399,358,0.8972431077694235,373,373.0,13,39.0,13,26.0,10,10,1602.0065907005387,8678.049919981375,0.0,13,0.0,1.1953912099997979
60001,13,1.0,13,1.0,adaptive_double_ring_clear_probe,True,13,7351.091738897069,False,5149.091738897069,25745.458694485347,1800.0,360,322,0.8944444444444445,337,337.0,13,39.0,13,26.0,9,9,1596.0065907005387,7351.091738897069,0.0,13,0.0,0.8841109259956283
60001,16,0.0,0,0.0,double_ring_optical_clear_probe,True,16,5550.636650376157,True,4264.6366503761565,21323.18325188078,1020.0,204,159,0.7794117647058824,183,183.0,17,51.0,16,32.0,0,0,892.8348192118777,5550.636650376157,0.0,16,9.094947017729282e-13,1.2507027550018393
60001,16,0.0,0,0.0,adaptive_double_ring_clear_probe,True,16,4264.252538622551,True,3186.252538622552,15931.262693112762,835.0,167,126,0.7544910179640718,154,154.0,19,57.0,16,32.0,0,0,886.4785119077405,4264.252538622551,0.0,16,-9.094947017729282e-13,0.7734412550053094
60001,16,0.25,8,0.5,double_ring_optical_clear_probe,True,16,6996.487170325061,False,5201.487170325058,26007.435851625305,1450.0,290,245,0.8448275862068966,265,265.0,16,48.0,16,32.0,5,5,1322.7074031196742,6996.487170325061,0.0,16,2.7284841053187847e-12,1.5441130219987826
60001,16,0.25,8,0.5,adaptive_double_ring_clear_probe,True,16,6503.8442101484015,False,4798.844210148405,23994.22105074201,1360.0,272,231,0.8492647058823529,244,244.0,23,69.0,16,32.0,4,4,771.6195247331917,6503.8442101484015,0.0,16,-3.637978807091713e-12,0.6968441119970521
60001,16,0.5,11,0.6875,double_ring_optical_clear_probe,True,16,7001.07030326687,False,5103.070303266869,25515.351516334355,1535.0,307,259,0.8436482084690554,283,283.0,16,48.0,16,32.0,7,7,530.1486881458135,7001.07030326687,0.0,16,9.094947017729282e-13,1.0970445379934972
