study,scenario_id,selected_x,selected_y,objective_m,realized_mean_diameter_m,realized_p95_diameter_m,selection_runtime_s,candidate_count,exact_evaluation_count,f1_area_m2,f1_diameter_m,selected_point_shift_m,objective_delta_m
ED-current-pruning,11,1262.5,612.5,48.81763093957795,63.94269441499783,65.87697969150209,3.7812027000036323,219,12000,28080.865710781847,1269.2360349679059,0.0,0.0
ED-without-pdet-threshold,0,112.5,-1187.5,54.413296664025665,51.35107544440778,51.8610963737835,3.9262176000047475,283,12000,35534.59609434849,1436.922053628629,0.0,0.0
ED-without-pdet-threshold,1,-1187.5,212.5,45.99393358672229,55.31066243349765,55.441356531295476,3.8651009000022896,251,12000,26418.200494837787,1262.7968672303039,0.0,0.0
ED-without-pdet-threshold,2,12.5,-1737.5,58.46011836709458,51.70193987557705,52.59609725120967,4.072264600006747,313,12000,39269.463539144635,1495.0030560486202,0.0,0.0
ED-without-pdet-threshold,3,12.5,1262.5,38.89644970517948,54.49442482107439,55.62042286416419,3.883616899998742,283,12000,22530.430630259376,1143.649282924671,0.0,0.0
ED-without-pdet-threshold,4,62.5,-587.5,54.75096571344913,61.63232508211981,62.180420837765716,4.167223199998261,360,12000,39269.463539144606,1495.00305604862,0.0,0.0
ED-without-pdet-threshold,5,1412.5,662.5,23.00572768060474,25.997777632290973,26.632840477543827,3.8161435999936657,238,12000,6839.727358156278,625.5498386257145,0.0,0.0
ED-without-pdet-threshold,6,162.5,-1637.5,11.758621350124765,16.265388747882405,16.542151281262854,3.740289199995459,210,12000,1735.5245894144757,313.6946054206885,0.0,0.0
ED-without-pdet-threshold,7,-437.5,-1037.5,55.129227188154836,42.62783911316526,42.65683860969226,4.031694500008598,310,12000,39269.46353914455,1495.0030560486202,0.0,0.0
ED-without-pdet-threshold,8,-837.5,-1137.5,57.65471512680383,69.68481735164806,70.29173575211372,4.11670490000688,313,12000,39269.46353914452,1495.0030560486202,0.0,0.0
ED-without-pdet-threshold,9,-737.5,-87.5,60.856704182674285,42.1213168639834,42.16185183671094,4.094070300008752,269,12000,39269.463539144606,1495.0030560486202,0.0,0.0
ED-without-pdet-threshold,10,-737.5,-1287.5,26.060837305641392,38.329965334319226,38.92679187041703,3.837875500001246,257,12000,8722.06263586226,715.9926102301956,0.0,0.0
ED-without-pdet-threshold,11,1262.5,612.5,48.81763093957795,63.94269441499783,65.87697969150209,3.768334500011406,265,12000,28080.865710781847,1269.2360349679059,0.0,0.0
ED-low-sampling-10x3,0,162.5,-1137.5,57.66231386473845,49.17922503072977,49.59173898425891,0.9566663000005065,283,900,35534.59609434849,1436.922053628629,70.71067811865476,3.2490172007127853
ED-low-sampling-10x3,1,-1137.5,212.5,50.46564302447454,52.47848704144435,52.58875932054562,0.9354032000119332,270,900,26418.200494837787,1262.7968672303039,50.0,4.471709437752246
ED-low-sampling-10x3,2,212.5,-587.5,60.740182377163855,55.002041691434854,55.681320710153244,1.0355921000009403,305,900,39269.463539144635,1495.0030560486202,1167.2617529928752,2.2800640100692746
ED-low-sampling-10x3,3,62.5,1262.5,39.907746723455936,51.96016164582336,52.957424017537726,0.9365618000010727,283,900,22530.430630259376,1143.649282924671,50.0,1.0112970182764585
ED-low-sampling-10x3,4,712.5,412.5,51.69723430553098,65.25019716628681,66.0364465626428,1.182390600006329,366,900,39269.463539144606,1495.00305604862,1192.6860441876563,-3.05373140791815
ED-low-sampling-10x3,5,1412.5,612.5,24.297602309574184,26.554700192583176,27.222097827202568,0.9083825999987312,264,900,6839.727358156278,625.5498386257145,50.0,1.2918746289694454
ED-low-sampling-10x3,6,162.5,-1637.5,12.509727028158562,16.265388747882405,16.542151281262854,0.7792659999977332,210,900,1735.5245894144757,313.6946054206885,0.0,0.751105678033797
ED-low-sampling-10x3,7,-387.5,-1087.5,54.425443378987225,43.49795467874517,43.57968217230857,1.0216608999908203,310,900,39269.46353914455,1495.0030560486202,70.71067811865476,-0.7037838091676107
ED-low-sampling-10x3,8,-787.5,-1187.5,62.64738849133789,73.2415696264961,73.92298992221147,1.014009200007422,313,900,39269.46353914452,1495.0030560486202,70.71067811865476,4.992673364534063
ED-low-sampling-10x3,9,-837.5,-87.5,59.84512690023045,43.359752565676686,43.43718409385827,0.9604694000008749,283,900,39269.463539144606,1495.0030560486202,100.0,-1.011577282443838
ED-low-sampling-10x3,10,-687.5,-1237.5,26.73971356405412,32.04813116056083,32.421370967160286,0.8914353000000119,251,900,8722.06263586226,715.9926102301956,70.71067811865476,0.6788762584127284
